idade,escolaridade,estado_civil,regiao,num_dependentes,tipo_contrato,anos_emprego,renda_mensal,valor_emprestimo,prazo_meses,taxa_juros_mensal,historico_pagamentos,score_credito,inadimplente
26,Superior,Divorciado,Sul,2,CLT,16.0,3855.99,14700.0,12,1.34,Excelente,730,0
47,Superior,Divorciado,Centro-Oeste,3,CLT,0.5,4724.21,49000.0,60,1.44,Bom,569,0
24,Médio,Solteiro,Nordeste,0,CLT,2.6,2827.11,33500.0,48,2.28,Excelente,689,0
40,Pós-graduação,Casado,Sudeste,2,CLT,0.9,9384.3,28600.0,60,2.38,Excelente,753,0
18,Pós-graduação,Casado,Sudeste,3,Empresário,4.8,6549.42,81800.0,36,1.87,Regular,571,0
23,Médio,Divorciado,Sul,0,CLT,2.0,2846.35,29400.0,24,1.61,Bom,649,0
40,Fundamental,Casado,Sudeste,2,CLT,4.2,1320.0,8400.0,36,2.02,Excelente,658,0
46,Superior,Casado,Sudeste,1,Servidor Público,1.7,3385.39,10900.0,60,1.17,Bom,650,0
39,Superior,Casado,Sudeste,0,Empresário,3.3,5183.81,27700.0,36,2.75,Ruim,430,1
36,Pós-graduação,Solteiro,Sudeste,1,Autônomo,2.5,9999.01,120000.0,36,3.82,Excelente,792,0
34,Superior,Solteiro,Norte,2,Servidor Público,1.9,7222.84,93000.0,24,0.89,Bom,674,0
21,Superior,Casado,Sul,3,CLT,3.1,5586.37,71000.0,84,1.87,Bom,574,0
30,Médio,Casado,Centro-Oeste,2,CLT,1.9,3535.36,18700.0,84,2.16,Excelente,689,0
32,Fundamental,Casado,Sudeste,3,CLT,6.6,2283.31,38100.0,60,2.06,Ruim,422,0
49,Médio,Casado,Sudeste,0,CLT,2.7,3932.59,36000.0,24,2.07,Bom,630,0
41,Médio,Solteiro,Nordeste,0,CLT,9.3,3565.03,51800.0,60,1.87,Excelente,734,0
18,Superior,Casado,Sudeste,4,CLT,1.0,7751.66,42600.0,48,2.01,Bom,604,1
41,Superior,Solteiro,Sul,3,CLT,0.5,5332.18,53600.0,60,1.92,Bom,634,1
33,Superior,Divorciado,Centro-Oeste,0,CLT,1.9,5439.57,58900.0,72,2.03,Excelente,714,0
30,Médio,Viúvo,Sudeste,2,CLT,0.8,3489.91,50800.0,36,1.86,Excelente,635,0
44,Superior,Casado,Sul,1,Empresário,2.0,8095.55,99800.0,72,2.92,Bom,660,0
49,Fundamental,Solteiro,Sudeste,1,Empresário,0.9,1787.36,16100.0,72,2.69,Excelente,648,0
48,Médio,Solteiro,Sudeste,3,CLT,8.1,2216.05,16000.0,48,1.7,Excelente,701,0
28,Superior,Casado,Centro-Oeste,2,CLT,3.4,3147.24,55400.0,60,1.37,Bom,569,0
34,Superior,Casado,Sudeste,0,Servidor Público,2.8,4191.56,30500.0,36,1.37,Bom,696,0
41,Pós-graduação,Casado,Sudeste,1,CLT,6.2,11737.81,58000.0,60,1.44,Excelente,792,0
48,Médio,Solteiro,Sudeste,0,Empresário,0.6,3392.77,25500.0,48,2.09,Regular,500,0
32,Médio,Casado,Sudeste,2,CLT,7.8,2956.83,23400.0,36,2.14,Excelente,693,0
35,Médio,Casado,Norte,1,CLT,2.6,1943.81,9600.0,36,2.04,Excelente,658,0
25,Médio,Solteiro,Sul,4,Servidor Público,0.6,2825.87,38500.0,60,0.84,Excelente,617,0
24,Superior,Casado,Norte,2,CLT,6.8,10188.84,125200.0,84,1.45,Regular,629,0
46,Superior,Solteiro,Centro-Oeste,0,CLT,2.5,7992.53,61900.0,24,1.39,Bom,739,0
52,Superior,Casado,Nordeste,2,Servidor Público,3.7,5003.81,89500.0,36,1.18,Excelente,755,0
37,Médio,Divorciado,Sudeste,1,Empresário,9.0,3128.99,40100.0,60,2.03,Bom,652,0
49,Superior,Casado,Sudeste,0,Autônomo,8.9,5663.29,76700.0,24,3.84,Regular,578,0
41,Fundamental,Divorciado,Nordeste,1,Servidor Público,8.9,1582.68,18000.0,84,0.85,Excelente,709,0
30,Superior,Casado,Nordeste,4,Empresário,2.2,4734.61,53400.0,60,2.6,Regular,540,1
41,Médio,Solteiro,Sudeste,1,CLT,5.5,1750.93,5800.0,72,2.11,Bom,621,0
54,Médio,Casado,Sudeste,2,CLT,1.1,2000.93,29100.0,72,1.96,Excelente,678,0
37,Médio,Casado,Sudeste,1,CLT,7.1,2128.85,35500.0,60,2.09,Regular,560,0
55,Pós-graduação,Casado,Norte,1,CLT,1.7,8208.52,39700.0,12,1.77,Bom,669,0
18,Fundamental,Solteiro,Sudeste,2,Autônomo,2.5,1320.0,19700.0,36,3.61,Bom,549,1
47,Médio,Casado,Centro-Oeste,3,CLT,8.9,2665.64,29400.0,24,2.36,Regular,537,0
38,Superior,Solteiro,Nordeste,0,CLT,6.6,5679.42,41300.0,72,2.14,Excelente,797,0
34,Médio,Solteiro,Nordeste,0,CLT,12.2,3178.86,53400.0,60,1.96,Excelente,757,0
39,Médio,Casado,Sudeste,1,CLT,1.8,2510.02,8200.0,24,2.44,Ruim,459,1
18,Médio,Solteiro,Sudeste,1,CLT,0.7,1764.77,12500.0,36,2.06,Excelente,721,0
35,Médio,Divorciado,Norte,2,CLT,9.7,1980.29,32300.0,12,1.72,Bom,593,0
41,Pós-graduação,Casado,Centro-Oeste,0,Servidor Público,2.7,8869.36,90600.0,60,1.38,Ruim,580,0
54,Superior,Casado,Nordeste,2,Servidor Público,8.8,7347.95,88100.0,36,0.94,Excelente,777,0
32,Médio,Casado,Sudeste,2,Servidor Público,5.3,1937.86,27600.0,36,1.13,Ruim,461,0
29,Pós-graduação,Casado,Centro-Oeste,0,Servidor Público,8.3,3251.1,17000.0,48,1.14,Bom,634,0
32,Médio,Solteiro,Sudeste,1,Empresário,4.3,2672.41,16600.0,12,2.35,Ruim,460,1
48,Fundamental,Divorciado,Sudeste,0,CLT,6.7,1837.64,33000.0,36,2.25,Excelente,678,0
41,Médio,Casado,Nordeste,0,Empresário,0.5,3728.79,24500.0,24,2.07,Bom,624,0
32,Médio,Divorciado,Sudeste,2,CLT,13.8,2745.29,30400.0,72,1.44,Ruim,487,0
43,Médio,Casado,Centro-Oeste,1,CLT,0.8,4065.5,30400.0,36,2.26,Excelente,677,0
39,Pós-graduação,Solteiro,Sudeste,2,Autônomo,0.1,10035.26,150000.0,48,3.23,Excelente,765,0
48,Superior,Casado,Centro-Oeste,1,CLT,3.0,4165.38,72600.0,48,1.91,Excelente,681,0
30,Médio,Solteiro,Sudeste,0,CLT,5.0,3492.5,17900.0,60,1.58,Ruim,400,0
34,Superior,Casado,Centro-Oeste,1,CLT,5.0,3676.12,44100.0,36,2.08,Excelente,694,0
33,Superior,Solteiro,Sudeste,2,CLT,1.7,3618.29,54900.0,24,2.32,Excelente,712,0
21,Pós-graduação,Casado,Nordeste,0,Servidor Público,5.6,12792.15,150000.0,24,0.94,Regular,730,0
41,Superior,Viúvo,Nordeste,2,CLT,7.4,8624.49,82900.0,24,2.0,Bom,723,0
40,Médio,Casado,Sudeste,0,Servidor Público,3.8,3432.08,21900.0,48,0.89,Bom,665,0
38,Superior,Divorciado,Sudeste,0,CLT,2.0,5983.53,52700.0,36,2.31,Bom,638,0
35,Superior,Casado,Centro-Oeste,1,CLT,3.8,6046.64,86300.0,36,1.94,Bom,719,0
22,Superior,Casado,Nordeste,1,CLT,7.9,8675.16,150000.0,12,2.36,Bom,717,0
33,Fundamental,Divorciado,Nordeste,2,Servidor Público,9.2,2147.87,24300.0,48,1.04,Ruim,469,0
34,Fundamental,Divorciado,Centro-Oeste,1,Empresário,0.1,2490.21,14800.0,72,1.99,Excelente,684,0
29,Médio,Casado,Sudeste,0,CLT,0.5,2803.18,10200.0,12,2.42,Ruim,396,1
36,Médio,Solteiro,Sudeste,2,Empresário,0.0,4281.48,73500.0,24,2.53,Excelente,684,0
42,Fundamental,Casado,Sudeste,1,Servidor Público,2.7,1957.26,20100.0,36,0.89,Excelente,629,0
58,Superior,Solteiro,Sudeste,1,CLT,2.3,6449.17,88700.0,36,1.71,Bom,671,0
39,Fundamental,Casado,Nordeste,2,CLT,3.2,1320.0,17000.0,12,1.77,Ruim,419,1
40,Superior,Casado,Sul,0,Servidor Público,4.6,5855.32,95800.0,24,1.06,Bom,643,0
37,Médio,Divorciado,Norte,3,CLT,1.8,1450.74,10100.0,72,1.54,Excelente,677,0
18,Pós-graduação,Divorciado,Nordeste,1,CLT,0.9,4858.29,46800.0,60,2.12,Bom,612,0
37,Médio,Casado,Nordeste,1,CLT,2.0,2486.74,41500.0,84,1.59,Ruim,415,0
38,Fundamental,Solteiro,Norte,3,CLT,0.0,2144.5,25300.0,36,1.97,Bom,587,0
65,Superior,Divorciado,Sudeste,2,CLT,7.1,7494.84,30500.0,72,2.21,Excelente,740,0
35,Superior,Solteiro,Nordeste,0,Autônomo,1.9,5083.01,30100.0,60,3.53,Bom,647,0
41,Pós-graduação,Casado,Sudeste,2,Servidor Público,3.9,9427.21,61800.0,72,1.08,Bom,705,0
37,Médio,Solteiro,Sul,1,Servidor Público,1.6,3776.93,67600.0,12,1.35,Excelente,664,0
25,Médio,Casado,Nordeste,1,Autônomo,3.8,2969.79,18900.0,60,4.34,Ruim,414,0
50,Pós-graduação,Viúvo,Sul,2,CLT,3.1,12342.7,150000.0,48,2.34,Bom,692,0
46,Médio,Solteiro,Norte,1,CLT,0.9,1606.03,6700.0,48,1.77,Excelente,659,0
46,Superior,Casado,Centro-Oeste,0,Servidor Público,3.9,3934.11,22500.0,48,1.09,Ruim,478,0
27,Médio,Solteiro,Nordeste,1,CLT,0.5,3962.49,63700.0,60,2.5,Bom,670,0
53,Fundamental,Divorciado,Sudeste,0,Autônomo,2.6,1619.23,26700.0,84,2.81,Regular,528,0
22,Médio,Divorciado,Centro-Oeste,1,CLT,5.1,1537.55,8700.0,60,2.3,Bom,612,0
44,Médio,Solteiro,Sul,1,CLT,3.2,1477.46,9500.0,72,1.3,Ruim,401,0
62,Superior,Solteiro,Nordeste,2,CLT,5.5,3841.06,42100.0,48,1.91,Ruim,423,0
27,Pós-graduação,Casado,Sudeste,1,Servidor Público,1.3,7428.94,28200.0,60,1.36,Excelente,741,0
31,Médio,Solteiro,Nordeste,0,Autônomo,0.2,3267.38,56100.0,36,3.39,Excelente,685,0
39,Superior,Casado,Sudeste,3,Autônomo,0.2,4791.36,40400.0,36,2.39,Bom,636,0
32,Fundamental,Solteiro,Sul,2,Empresário,1.3,2638.9,27300.0,72,2.96,Bom,627,0
20,Médio,Solteiro,Sudeste,1,CLT,2.1,2362.93,10800.0,72,1.3,Bom,630,0
38,Fundamental,Casado,Sudeste,4,CLT,3.1,2073.69,7200.0,60,1.79,Bom,532,0
26,Pós-graduação,Solteiro,Nordeste,3,CLT,5.7,7719.06,77300.0,72,1.77,Ruim,496,1
43,Superior,Divorciado,Sudeste,0,CLT,7.3,7467.85,36000.0,36,1.63,Excelente,733,0
27,Superior,Solteiro,Sudeste,2,Servidor Público,4.7,3508.72,43700.0,36,0.98,Excelente,632,0
55,Superior,Solteiro,Sudeste,2,Servidor Público,2.5,5889.22,87900.0,60,0.86,Bom,638,0
29,Superior,Viúvo,Sudeste,0,Autônomo,1.2,6266.38,21800.0,36,3.2,Excelente,759,0
34,Pós-graduação,Casado,Sudeste,0,Autônomo,2.2,8024.71,97800.0,12,4.31,Bom,693,0
46,Superior,Casado,Nordeste,2,Servidor Público,1.3,6429.59,98000.0,36,1.2,Bom,604,1
24,Pós-graduação,Solteiro,Sudeste,1,Autônomo,3.9,8554.14,82000.0,36,2.83,Regular,679,0
40,Médio,Casado,Sul,3,CLT,6.8,4116.55,71600.0,24,2.37,Excelente,720,0
52,Fundamental,Casado,Sudeste,0,Autônomo,2.9,1414.79,6600.0,36,2.8,Regular,503,0
20,Médio,Solteiro,Sudeste,3,Servidor Público,0.2,2415.2,18900.0,72,0.98,Excelente,584,0
40,Fundamental,Divorciado,Sudeste,3,Autônomo,11.2,2172.97,14000.0,72,3.21,Regular,542,0
40,Superior,Casado,Sudeste,2,CLT,1.4,7057.86,126600.0,36,2.08,Excelente,649,0
46,Médio,Casado,Nordeste,0,CLT,9.8,3054.94,22600.0,60,1.61,Regular,549,0
24,Superior,Casado,Sul,2,CLT,6.7,5595.16,49300.0,24,2.39,Regular,518,0
23,Fundamental,Casado,Sudeste,1,CLT,2.1,1320.0,20700.0,60,2.22,Bom,571,0
43,Médio,Solteiro,Sudeste,2,CLT,0.2,3248.66,55100.0,48,2.34,Ruim,397,1
41,Médio,Casado,Centro-Oeste,1,CLT,11.8,1955.0,33400.0,60,1.45,Bom,622,0
40,Pós-graduação,Solteiro,Norte,3,CLT,4.3,8735.54,99300.0,48,1.4,Ruim,548,1
41,Médio,Casado,Sudeste,0,CLT,1.1,1320.0,17100.0,36,2.41,Excelente,663,0
30,Médio,Casado,Norte,2,Empresário,3.1,1501.93,12400.0,72,1.5,Excelente,700,0
40,Superior,Casado,Sudeste,2,CLT,4.0,3027.24,36700.0,48,1.74,Ruim,447,1
41,Superior,Divorciado,Sul,2,CLT,1.0,6749.84,50900.0,60,2.09,Excelente,696,0
30,Médio,Solteiro,Sudeste,0,CLT,0.4,1320.0,18700.0,24,1.72,Regular,501,1
58,Médio,Casado,Sudeste,0,CLT,1.2,1568.58,11900.0,48,2.34,Regular,562,0
43,Médio,Casado,Sudeste,1,Autônomo,0.2,4540.06,73500.0,36,4.17,Ruim,405,0
24,Pós-graduação,Casado,Sul,1,CLT,0.3,4223.97,21800.0,72,1.63,Ruim,415,0
45,Fundamental,Casado,Sudeste,0,Autônomo,0.7,1336.21,15500.0,72,3.42,Bom,578,0
27,Médio,Solteiro,Sudeste,0,CLT,0.7,1341.81,14500.0,12,1.3,Regular,519,0
46,Fundamental,Casado,Sul,2,CLT,1.1,2862.92,19900.0,60,1.48,Excelente,637,0
50,Médio,Solteiro,Sudeste,0,Autônomo,11.1,2363.98,8100.0,24,2.14,Excelente,757,0
28,Superior,Viúvo,Nordeste,3,Empresário,3.4,7168.06,37500.0,72,2.25,Bom,671,0
48,Médio,Solteiro,Sudeste,1,CLT,2.2,4656.13,81600.0,24,1.26,Excelente,676,0
42,Fundamental,Divorciado,Nordeste,2,Servidor Público,3.3,1706.53,29200.0,24,0.88,Excelente,679,0
47,Médio,Casado,Centro-Oeste,0,Servidor Público,0.0,2697.81,12900.0,36,1.42,Excelente,652,0
58,Fundamental,Solteiro,Sudeste,3,CLT,9.0,1320.0,11400.0,60,2.48,Excelente,684,0
35,Fundamental,Casado,Sudeste,0,Servidor Público,3.0,1320.0,13200.0,36,1.33,Regular,563,0
29,Superior,Divorciado,Sudeste,0,Autônomo,2.4,3580.79,36400.0,48,3.14,Excelente,701,0
28,Superior,Divorciado,Centro-Oeste,0,CLT,11.4,7220.24,54000.0,48,1.92,Ruim,526,0
29,Pós-graduação,Solteiro,Sudeste,0,Empresário,5.2,6010.41,100300.0,36,2.28,Excelente,805,0
37,Superior,Solteiro,Sudeste,1,CLT,1.6,8768.55,145800.0,48,2.14,Excelente,746,0
41,Superior,Solteiro,Sul,2,CLT,11.0,4901.61,16100.0,24,1.51,Bom,639,0
41,Fundamental,Solteiro,Nordeste,0,CLT,7.6,1379.25,17600.0,72,1.6,Regular,524,0
47,Superior,Casado,Sudeste,2,Autônomo,12.4,4684.2,19300.0,24,2.3,Regular,657,0
38,Superior,Divorciado,Centro-Oeste,2,Autônomo,0.4,4861.67,58200.0,72,2.49,Excelente,658,0
53,Superior,Casado,Sudeste,3,CLT,12.4,4180.09,66900.0,48,1.82,Bom,633,0
35,Médio,Casado,Nordeste,0,CLT,3.1,4306.01,54900.0,48,1.37,Regular,559,1
67,Médio,Casado,Sudeste,0,CLT,4.5,4690.38,47100.0,36,1.61,Bom,671,0
44,Superior,Casado,Sudeste,0,CLT,1.0,4480.17,77800.0,24,1.35,Bom,593,0
28,Superior,Solteiro,Norte,1,Servidor Público,0.6,8002.3,113600.0,48,1.38,Bom,645,0
26,Pós-graduação,Casado,Nordeste,1,Servidor Público,0.3,6464.31,43600.0,36,0.91,Bom,596,0
43,Médio,Divorciado,Sul,1,CLT,2.2,1320.0,11600.0,36,2.0,Bom,590,0
35,Médio,Casado,Sudeste,0,CLT,1.0,2508.87,36100.0,36,1.4,Regular,555,1
45,Médio,Solteiro,Nordeste,2,CLT,0.3,4514.94,14900.0,36,2.49,Ruim,419,1
43,Superior,Solteiro,Nordeste,1,CLT,12.4,9212.83,36500.0,36,1.56,Bom,783,0
37,Médio,Solteiro,Sudeste,1,Servidor Público,5.3,1759.97,28000.0,84,1.47,Excelente,659,0
28,Fundamental,Casado,Sudeste,0,CLT,2.9,1517.21,5500.0,48,1.24,Ruim,436,0
21,Pós-graduação,Casado,Centro-Oeste,2,CLT,5.4,12815.75,150000.0,72,2.07,Regular,674,0
33,Fundamental,Solteiro,Sudeste,2,Autônomo,3.8,1320.0,10300.0,12,3.68,Regular,542,1
47,Superior,Divorciado,Centro-Oeste,2,Empresário,0.8,3510.57,54000.0,12,2.71,Bom,678,0
40,Médio,Casado,Sul,3,CLT,4.0,1763.38,27700.0,48,1.32,Regular,517,0
24,Superior,Casado,Norte,2,CLT,4.6,7700.78,133200.0,60,1.69,Regular,553,0
39,Superior,Viúvo,Nordeste,0,Empresário,1.1,1853.01,8200.0,48,2.21,Regular,527,0
42,Pós-graduação,Solteiro,Centro-Oeste,0,CLT,1.5,15390.31,143800.0,48,2.24,Ruim,532,1
28,Pós-graduação,Divorciado,Sudeste,3,Autônomo,1.9,11253.83,130600.0,24,3.92,Bom,676,1
39,Fundamental,Solteiro,Sudeste,2,Servidor Público,3.7,2099.25,35100.0,84,1.21,Excelente,706,0
38,Fundamental,Casado,Sudeste,2,CLT,0.5,2139.21,15000.0,48,2.09,Bom,605,0
25,Médio,Divorciado,Centro-Oeste,2,CLT,5.4,3964.03,16200.0,24,1.54,Regular,544,1
41,Superior,Divorciado,Centro-Oeste,0,CLT,1.7,7807.54,47100.0,36,1.26,Bom,646,0
44,Superior,Casado,Sudeste,3,Servidor Público,4.7,5637.3,58800.0,12,0.88,Regular,560,0
49,Médio,Casado,Centro-Oeste,0,Servidor Público,10.8,2944.34,38900.0,36,0.88,Excelente,749,0
49,Superior,Casado,Nordeste,1,Autônomo,8.2,4315.77,57700.0,60,4.33,Regular,537,0
22,Médio,Divorciado,Sul,1,CLT,5.4,3287.01,13500.0,36,1.42,Excelente,669,0
27,Superior,Solteiro,Sudeste,2,CLT,0.9,7197.75,103800.0,36,1.3,Regular,548,0
43,Pós-graduação,Divorciado,Nordeste,1,CLT,5.3,7062.28,91100.0,48,2.29,Bom,627,0
43,Médio,Casado,Sudeste,1,Empresário,4.0,3153.57,28700.0,48,1.55,Ruim,387,0
43,Médio,Casado,Centro-Oeste,2,Servidor Público,5.9,2536.94,29300.0,48,0.91,Regular,504,0
75,Fundamental,Casado,Sudeste,1,CLT,8.1,1320.0,19200.0,48,2.19,Regular,555,0
44,Superior,Casado,Norte,0,CLT,1.5,3650.89,25300.0,12,2.21,Excelente,697,0
50,Médio,Divorciado,Sul,2,Servidor Público,4.1,2649.51,45300.0,48,1.09,Regular,514,0
48,Fundamental,Casado,Sudeste,2,CLT,1.3,1320.0,6700.0,84,2.05,Bom,552,0
45,Médio,Viúvo,Sul,1,Autônomo,1.7,2415.43,39900.0,60,2.88,Bom,614,0
34,Médio,Solteiro,Sudeste,2,CLT,2.9,3569.2,50400.0,36,1.74,Regular,540,0
46,Médio,Casado,Sudeste,1,CLT,2.3,1320.0,17000.0,60,1.38,Excelente,702,0
29,Superior,Divorciado,Sudeste,0,CLT,3.7,2574.57,10900.0,36,1.9,Excelente,619,0
35,Fundamental,Casado,Norte,1,CLT,5.7,1878.49,31500.0,24,1.29,Bom,565,0
32,Superior,Casado,Norte,0,CLT,3.7,4051.38,30100.0,60,1.81,Bom,667,0
38,Superior,Casado,Sudeste,2,CLT,14.0,7493.16,106300.0,24,2.15,Excelente,789,0
63,Médio,Divorciado,Centro-Oeste,1,CLT,5.4,3886.77,63200.0,72,1.78,Bom,664,0
18,Fundamental,Divorciado,Sudeste,0,CLT,16.8,1644.55,11000.0,36,1.86,Bom,654,0
45,Superior,Solteiro,Nordeste,1,CLT,5.4,2747.56,45900.0,60,2.29,Bom,613,0
20,Pós-graduação,Divorciado,Centro-Oeste,3,CLT,2.8,9897.55,120500.0,36,2.04,Excelente,695,0
32,Médio,Casado,Sul,1,CLT,2.1,3704.76,47700.0,60,1.37,Bom,547,0
49,Médio,Solteiro,Nordeste,4,Empresário,5.3,3739.47,62500.0,24,2.42,Excelente,678,0
38,Médio,Divorciado,Nordeste,4,CLT,4.6,2711.95,29600.0,12,1.67,Excelente,703,0
26,Superior,Casado,Sudeste,2,CLT,4.4,5255.88,50500.0,60,1.47,Excelente,700,0
30,Médio,Divorciado,Norte,2,CLT,5.1,3067.68,38300.0,72,2.04,Bom,595,1
45,Médio,Solteiro,Norte,1,Servidor Público,8.2,4166.9,47100.0,72,1.02,Excelente,689,0
29,Superior,Solteiro,Sudeste,1,CLT,1.0,6302.56,24700.0,12,2.2,Ruim,491,0
40,Superior,Casado,Centro-Oeste,4,CLT,3.3,5773.95,33000.0,60,1.96,Bom,617,1
38,Médio,Solteiro,Norte,1,Empresário,3.7,1721.33,5500.0,72,2.58,Bom,609,0
30,Médio,Casado,Sudeste,0,CLT,1.4,2525.17,11700.0,36,1.66,Bom,569,0
61,Superior,Solteiro,Sudeste,0,Empresário,17.7,5939.14,82800.0,48,2.66,Bom,700,0
44,Fundamental,Casado,Sudeste,2,Servidor Público,6.2,1417.28,4400.0,36,0.84,Bom,627,0
18,Fundamental,Solteiro,Nordeste,1,Autônomo,1.6,3020.55,22900.0,36,2.41,Regular,512,0
40,Superior,Solteiro,Nordeste,0,Autônomo,1.8,4515.12,44000.0,72,3.61,Excelente,685,0
30,Fundamental,Casado,Sul,2,CLT,5.1,2409.2,41100.0,36,2.0,Excelente,755,0
47,Superior,Solteiro,Norte,1,Autônomo,0.0,7120.67,56300.0,36,2.16,Regular,563,0
29,Pós-graduação,Casado,Nordeste,2,CLT,2.5,8155.62,120300.0,24,1.91,Ruim,469,0
36,Médio,Divorciado,Nordeste,0,CLT,1.7,4368.15,39900.0,60,1.54,Regular,548,0
43,Médio,Casado,Sul,0,CLT,7.7,2588.22,11600.0,24,2.23,Excelente,694,0
47,Superior,Divorciado,Sudeste,0,CLT,6.3,8496.1,38100.0,12,1.77,Ruim,514,1
24,Superior,Solteiro,Nordeste,1,CLT,1.6,4177.09,39600.0,60,1.93,Regular,598,0
34,Pós-graduação,Solteiro,Sudeste,2,CLT,8.0,7190.64,27800.0,60,2.37,Excelente,754,0
32,Superior,Divorciado,Centro-Oeste,2,CLT,9.8,5851.51,67700.0,24,1.84,Excelente,690,0
30,Fundamental,Casado,Nordeste,0,CLT,3.2,2781.78,28900.0,84,1.64,Regular,531,0
57,Superior,Casado,Sudeste,3,Autônomo,0.7,8004.55,108400.0,60,4.3,Excelente,707,0
42,Médio,Casado,Nordeste,0,CLT,5.9,1320.0,7600.0,60,1.37,Bom,578,0
24,Médio,Casado,Sudeste,0,CLT,1.5,2420.27,28800.0,60,2.39,Excelente,668,0
48,Fundamental,Solteiro,Sudeste,3,Autônomo,3.0,1320.0,7400.0,36,2.88,Bom,549,1
61,Médio,Casado,Sul,0,Servidor Público,0.2,1320.0,18300.0,48,0.9,Excelente,652,0
49,Superior,Casado,Sudeste,2,CLT,2.8,1974.95,15000.0,72,1.4,Bom,596,0
21,Médio,Casado,Sudeste,0,Empresário,1.9,1730.79,21100.0,12,2.34,Regular,548,0
32,Médio,Divorciado,Nordeste,0,CLT,4.6,3269.48,53100.0,60,1.75,Bom,601,0
51,Médio,Solteiro,Centro-Oeste,2,CLT,0.2,3996.53,41300.0,36,1.59,Ruim,418,1
30,Superior,Solteiro,Sudeste,0,Autônomo,3.9,6443.62,37900.0,48,4.17,Bom,654,0
42,Superior,Divorciado,Centro-Oeste,0,CLT,5.9,4290.84,69900.0,36,1.54,Regular,566,0
